Following table shows which revision is a release:

Revision  Release
--------------------------------------------------------------------
203       2006/05/27 v2.95 RC1
211	  2006/06/07 v2.95 RC2
220       2006/06/20 v2.95 RC3
246       2006/07/05 v2.95
259       2006/07/22 v2.95a
265       2006/07/30 v2.95b
307       2006/11/26 v2.96
353       2007/03/02 v2.97
357       2007/03/07 v2.97a
362	  2007/03/25 v2.97b
510	  2007/09/28 v2.97c
520       2007/10/12 v2.97d
592	  2007/12/24 v2.98 
600	  2008/01/11 v2.98a
607       2008/01/30 v2.98b
737	  2008/10/07 v3.00RC2 
747	  2008/11/03 v3.00 
764	  2008/11/14 v3.01 
774	  2008/11/23 v3.01a 
789	  2008/12/09 v3.01b 
797	  2009/01/01 v3.02 
808	  2009/01/24 v3.02b 
--------------------------------------------------------------------
